54,Xilin.Turbines.Xilin 10.BL2_ACT,GEFJ2.10.BL2_ACT,风机叶片实际角度2
55,Xilin.Turbines.Xilin 10.BL2_SET_V,GEFJ2.10.BL2_SET_V,风机叶片设定角度2
56,Xilin.Turbines.Xilin 10.BL3_ACT,GEFJ2.10.BL3_ACT,风机叶片实际角度3
57,Xilin.Turbines.Xilin 10.BL3_SET_V,GEFJ2.10.BL3_SET_V,风机叶片设定角度3
58,Xilin.Turbines.Xilin 10.EVENT_001-016,GEFJ2.10.EVENT_001-016,风机故障代码
59,Xilin.Turbines.Xilin 10.EVENT_017-032,GEFJ2.10.EVENT_017-032,风机故障代码
60,Xilin.Turbines.Xilin 10.EVENT_033-048,GEFJ2.10.EVENT_033-048,风机故障代码
61,Xilin.Turbines.Xilin 10.EVENT_049-064,GEFJ2.10.EVENT_049-064,风机故障代码
62,Xilin.Turbines.Xilin 10.EVENT_065-080,GEFJ2.10.EVENT_065-080,风机故障代码
63,Xilin.Turbines.Xilin 10.EVENT_097-112,GEFJ2.10.EVENT_097-112,风机故障代码
64,Xilin.Turbines.Xilin 10.EVENT_1000001-1000016,GEFJ2.10.EVENT_1000001-1000016,风机故障代码
65,Xilin.Turbines.Xilin 10.EVENT_113-128,GEFJ2.10.EVENT_113-128,风机故障代码
66,Xilin.Turbines.Xilin 10.EVENT_129-144,GEFJ2.10.EVENT_129-144,风机故障代码
67,Xilin.Turbines.Xilin 10.EVENT_145-160,GEFJ2.10.EVENT_145-160,风机故障代码
68,Xilin.Turbines.Xilin 10.EVENT_161-176,GEFJ2.10.EVENT_161-176,风机故障代码
69,Xilin.Turbines.Xilin 10.EVENT_177-192,GEFJ2.10.EVENT_177-192,风机故障代码
70,Xilin.Turbines.Xilin 10.EVENT_193-208,GEFJ2.10.EVENT_193-208,风机故障代码
71,Xilin.Turbines.Xilin 10.EVENT_209-224,GEFJ2.10.EVENT_209-224,风机故障代码
72,Xilin.Turbines.Xilin 10.EVENT_225-240,GEFJ2.10.EVENT_225-240,风机故障代码
73,Xilin.Turbines.Xilin 10.EVENT_241-256,GEFJ2.10.EVENT_241-256,风机故障代码
74,Xilin.Turbines.Xilin 10.EVENT_257-272,GEFJ2.10.EVENT_257-272,风机故障代码
75,Xilin.Turbines.Xilin 10.EVENT_273-288,GEFJ2.10.EVENT_273-288,风机故障代码
76,Xilin.Turbines.Xilin 10.EVENT_289-304,GEFJ2.10.EVENT_289-304,风机故障代码
77,Xilin.Turbines.Xilin 10.EVENT_305-320,GEFJ2.10.EVENT_305-320,风机故障代码
78,Xilin.Turbines.Xilin 10.EVENT_321-336,GEFJ2.10.EVENT_321-336,风机故障代码
79,Xilin.Turbines.Xilin 10.EVENT_337-352,GEFJ2.10.EVENT_337-352,风机故障代码
80,Xilin.Turbines.Xilin 10.EVENT_353-368,GEFJ2.10.EVENT_353-368,风机故障代码
81,Xilin.Turbines.Xilin 10.GE_AVAIL,GEFJ2.10.GE_AVAIL,风机可利用率
82,Xilin.Turbines.Xilin 10.I_A,GEFJ2.10.I_A,风机A相电流
83,Xilin.Turbines.Xilin 10.I_B,GEFJ2.10.I_B,风机B相电流
84,Xilin.Turbines.Xilin 10.I_C,GEFJ2.10.I_C,风机C相电流
85,Xilin.Turbines.Xilin 10.N_ROT_PLC,GEFJ2.10.N_ROT_PLC,风机转子速度
86,Xilin.Turbines.Xilin 10.OT_ULM,GEFJ2.10.OT_ULM,风机并网发电时间
87,Xilin.Turbines.Xilin 10.OTT,GEFJ2.10.OTT,风机并网发电时间
88,Xilin.Turbines.Xilin 10.P_ACT,GEFJ2.10.P_ACT,风机功率
89,Xilin.Turbines.Xilin 10.POS_NAC,GEFJ2.10.POS_NAC,风机机舱位置
90,Xilin.Turbines.Xilin 10.PROD,GEFJ2.10.PROD,风机发电量
91,Xilin.Turbines.Xilin 10.PROD_ULM,GEFJ2.10.PROD_ULM,风机发电量
92,Xilin.Turbines.Xilin 10.STATE_FAULT,GEFJ2.10.STATE_FAULT,风机状态
93,Xilin.Turbines.Xilin 10.T_BEAR_SHAFT,GEFJ2.10.T_BEAR_SHAFT,风机主轴温度
94,Xilin.Turbines.Xilin 10.T_GEAR,GEFJ2.10.T_GEAR,风机齿轮箱油温
95,Xilin.Turbines.Xilin 10.T_GEAR_BEAR,GEFJ2.10.T_GEAR_BEAR,风机齿轮箱轴承温度
96,Xilin.Turbines.Xilin 10.T_GEN_1,GEFJ2.10.T_GEN_1,风机发电机轴温度
97,Xilin.Turbines.Xilin 10.T_GEN_2,GEFJ2.10.T_GEN_2,风机发电机定子温度
98,Xilin.Turbines.Xilin 10.T_NAC,GEFJ2.10.T_NAC,风机机舱温度
